################################
Printing debug information
################################

Loading ADM.., hr=0
Plane27 extension calculation done, hr=0
Plane27 m_InitTextureCoordinates done, hr=0
Plane27 m_InitTriangles done, hr=0
Plane27 m_BuildVertexNormals done, hr=0
Plane27 bounding volumes done, hr=0
Plane27 m_BuildDriverStructures done, hr=0
Plane27 clearing stuff done, hr=0
Plane27 mesh initialization done, hr=0
Plane30 extension calculation done, hr=0
Plane30 m_InitTextureCoordinates done, hr=0
Plane30 m_InitTriangles done, hr=0
Plane30 m_BuildVertexNormals done, hr=0
Plane30 bounding volumes done, hr=0
Plane30 m_BuildDriverStructures done, hr=0
Plane30 clearing stuff done, hr=0
Plane30 mesh initialization done, hr=0
Plane32 extension calculation done, hr=0
Plane32 m_InitTextureCoordinates done, hr=0
Plane32 m_InitTriangles done, hr=0
Plane32 m_BuildVertexNormals done, hr=0
Plane32 bounding volumes done, hr=0
Plane32 m_BuildDriverStructures done, hr=0
Plane32 clearing stuff done, hr=0
Plane32 mesh initialization done, hr=0
Plane34 extension calculation done, hr=0
Plane34 m_InitTextureCoordinates done, hr=0
Plane34 m_InitTriangles done, hr=0
Plane34 m_BuildVertexNormals done, hr=0
Plane34 bounding volumes done, hr=0
Plane34 m_BuildDriverStructures done, hr=0
Plane34 clearing stuff done, hr=0
Plane34 mesh initialization done, hr=0
Plane35 extension calculation done, hr=0
Plane35 m_InitTextureCoordinates done, hr=0
Plane35 m_InitTriangles done, hr=0
Plane35 m_BuildVertexNormals done, hr=0
Plane35 bounding volumes done, hr=0
Plane35 m_BuildDriverStructures done, hr=0
Plane35 clearing stuff done, hr=0
Plane35 mesh initialization done, hr=0
Plane36 extension calculation done, hr=0
Plane36 m_InitTextureCoordinates done, hr=0
Plane36 m_InitTriangles done, hr=0
Plane36 m_BuildVertexNormals done, hr=0
Plane36 bounding volumes done, hr=0
Plane36 m_BuildDriverStructures done, hr=0
Plane36 clearing stuff done, hr=0
Plane36 mesh initialization done, hr=0
Plane39 extension calculation done, hr=0
Plane39 m_InitTextureCoordinates done, hr=0
Plane39 m_InitTriangles done, hr=0
Plane39 m_BuildVertexNormals done, hr=0
Plane39 bounding volumes done, hr=0
Plane39 m_BuildDriverStructures done, hr=0
Plane39 clearing stuff done, hr=0
Plane39 mesh initialization done, hr=0
Plane41 extension calculation done, hr=0
Plane41 m_InitTextureCoordinates done, hr=0
Plane41 m_InitTriangles done, hr=0
Plane41 m_BuildVertexNormals done, hr=0
Plane41 bounding volumes done, hr=0
Plane41 m_BuildDriverStructures done, hr=0
Plane41 clearing stuff done, hr=0
Plane41 mesh initialization done, hr=0
Plane42 extension calculation done, hr=0
Plane42 m_InitTextureCoordinates done, hr=0
Plane42 m_InitTriangles done, hr=0
Plane42 m_BuildVertexNormals done, hr=0
Plane42 bounding volumes done, hr=0
Plane42 m_BuildDriverStructures done, hr=0
Plane42 clearing stuff done, hr=0
Plane42 mesh initialization done, hr=0
Plane43 extension calculation done, hr=0
Plane43 m_InitTextureCoordinates done, hr=0
Plane43 m_InitTriangles done, hr=0
Plane43 m_BuildVertexNormals done, hr=0
Plane43 bounding volumes done, hr=0
Plane43 m_BuildDriverStructures done, hr=0
Plane43 clearing stuff done, hr=0
Plane43 mesh initialization done, hr=0
Plane44 extension calculation done, hr=0
Plane44 m_InitTextureCoordinates done, hr=0
Plane44 m_InitTriangles done, hr=0
Plane44 m_BuildVertexNormals done, hr=0
Plane44 bounding volumes done, hr=0
Plane44 m_BuildDriverStructures done, hr=0
Plane44 clearing stuff done, hr=0
Plane44 mesh initialization done, hr=0
Plane45 extension calculation done, hr=0
Plane45 m_InitTextureCoordinates done, hr=0
Plane45 m_InitTriangles done, hr=0
Plane45 m_BuildVertexNormals done, hr=0
Plane45 bounding volumes done, hr=0
Plane45 m_BuildDriverStructures done, hr=0
Plane45 clearing stuff done, hr=0
Plane45 mesh initialization done, hr=0
Plane46 extension calculation done, hr=0
Plane46 m_InitTextureCoordinates done, hr=0
Plane46 m_InitTriangles done, hr=0
Plane46 m_BuildVertexNormals done, hr=0
Plane46 bounding volumes done, hr=0
Plane46 m_BuildDriverStructures done, hr=0
Plane46 clearing stuff done, hr=0
Plane46 mesh initialization done, hr=0
Plane47 extension calculation done, hr=0
Plane47 m_InitTextureCoordinates done, hr=0
Plane47 m_InitTriangles done, hr=0
Plane47 m_BuildVertexNormals done, hr=0
Plane47 bounding volumes done, hr=0
Plane47 m_BuildDriverStructures done, hr=0
Plane47 clearing stuff done, hr=0
Plane47 mesh initialization done, hr=0
Plane48 extension calculation done, hr=0
Plane48 m_InitTextureCoordinates done, hr=0
Plane48 m_InitTriangles done, hr=0
Plane48 m_BuildVertexNormals done, hr=0
Plane48 bounding volumes done, hr=0
Plane48 m_BuildDriverStructures done, hr=0
Plane48 clearing stuff done, hr=0
Plane48 mesh initialization done, hr=0
Plane49 extension calculation done, hr=0
Plane49 m_InitTextureCoordinates done, hr=0
Plane49 m_InitTriangles done, hr=0
Plane49 m_BuildVertexNormals done, hr=0
Plane49 bounding volumes done, hr=0
Plane49 m_BuildDriverStructures done, hr=0
Plane49 clearing stuff done, hr=0
Plane49 mesh initialization done, hr=0
Plane50 extension calculation done, hr=0
Plane50 m_InitTextureCoordinates done, hr=0
Plane50 m_InitTriangles done, hr=0
Plane50 m_BuildVertexNormals done, hr=0
Plane50 bounding volumes done, hr=0
Plane50 m_BuildDriverStructures done, hr=0
Plane50 clearing stuff done, hr=0
Plane50 mesh initialization done, hr=0
Plane51 extension calculation done, hr=0
Plane51 m_InitTextureCoordinates done, hr=0
Plane51 m_InitTriangles done, hr=0
Plane51 m_BuildVertexNormals done, hr=0
Plane51 bounding volumes done, hr=0
Plane51 m_BuildDriverStructures done, hr=0
Plane51 clearing stuff done, hr=0
Plane51 mesh initialization done, hr=0
Plane52 extension calculation done, hr=0
Plane52 m_InitTextureCoordinates done, hr=0
Plane52 m_InitTriangles done, hr=0
Plane52 m_BuildVertexNormals done, hr=0
Plane52 bounding volumes done, hr=0
Plane52 m_BuildDriverStructures done, hr=0
Plane52 clearing stuff done, hr=0
Plane52 mesh initialization done, hr=0
Plane53 extension calculation done, hr=0
Plane53 m_InitTextureCoordinates done, hr=0
Plane53 m_InitTriangles done, hr=0
Plane53 m_BuildVertexNormals done, hr=0
Plane53 bounding volumes done, hr=0
Plane53 m_BuildDriverStructures done, hr=0
Plane53 clearing stuff done, hr=0
Plane53 mesh initialization done, hr=0
Plane54 extension calculation done, hr=0
Plane54 m_InitTextureCoordinates done, hr=0
Plane54 m_InitTriangles done, hr=0
Plane54 m_BuildVertexNormals done, hr=0
Plane54 bounding volumes done, hr=0
Plane54 m_BuildDriverStructures done, hr=0
Plane54 clearing stuff done, hr=0
Plane54 mesh initialization done, hr=0
Meshes initialization done, hr=0

Lights initialization done, hr=0

Cameras initialization done, hr=0

Plane21 cloning bounding volumes done, hr=0
Plane21 object space modifiers initialization done, hr=0
Plane21 vertex buffer creation done, hr=0
Plane21 vertex buffer has been filled, hr=0
Plane20 cloning bounding volumes done, hr=0
Plane20 object space modifiers initialization done, hr=0
Plane20 vertex buffer creation done, hr=0
Plane20 vertex buffer has been filled, hr=0
Plane18 cloning bounding volumes done, hr=0
Plane18 object space modifiers initialization done, hr=0
Plane18 vertex buffer creation done, hr=0
Plane18 vertex buffer has been filled, hr=0
Plane15 cloning bounding volumes done, hr=0
Plane15 object space modifiers initialization done, hr=0
Plane15 vertex buffer creation done, hr=0
Plane15 vertex buffer has been filled, hr=0
Plane13 cloning bounding volumes done, hr=0
Plane13 object space modifiers initialization done, hr=0
Plane13 vertex buffer creation done, hr=0
Plane13 vertex buffer has been filled, hr=0
Plane12 cloning bounding volumes done, hr=0
Plane12 object space modifiers initialization done, hr=0
Plane12 vertex buffer creation done, hr=0
Plane12 vertex buffer has been filled, hr=0
Plane10 cloning bounding volumes done, hr=0
Plane10 object space modifiers initialization done, hr=0
Plane10 vertex buffer creation done, hr=0
Plane10 vertex buffer has been filled, hr=0
Plane08 cloning bounding volumes done, hr=0
Plane08 object space modifiers initialization done, hr=0
Plane08 vertex buffer creation done, hr=0
Plane08 vertex buffer has been filled, hr=0
Plane05 cloning bounding volumes done, hr=0
Plane05 object space modifiers initialization done, hr=0
Plane05 vertex buffer creation done, hr=0
Plane05 vertex buffer has been filled, hr=0
Plane03 cloning bounding volumes done, hr=0
Plane03 object space modifiers initialization done, hr=0
Plane03 vertex buffer creation done, hr=0
Plane03 vertex buffer has been filled, hr=0
Plane01 cloning bounding volumes done, hr=0
Plane01 object space modifiers initialization done, hr=0
Plane01 vertex buffer creation done, hr=0
Plane01 vertex buffer has been filled, hr=0
Plane25 cloning bounding volumes done, hr=0
Plane25 object space modifiers initialization done, hr=0
Plane25 vertex buffer creation done, hr=0
Plane25 vertex buffer has been filled, hr=0
Plane27 cloning bounding volumes done, hr=0
Plane27 object space modifiers initialization done, hr=0
Plane27 vertex buffer creation done, hr=0
Plane27 vertex buffer has been filled, hr=0
Plane30 cloning bounding volumes done, hr=0
Plane30 object space modifiers initialization done, hr=0
Plane30 vertex buffer creation done, hr=0
Plane30 vertex buffer has been filled, hr=0
Plane32 cloning bounding volumes done, hr=0
Plane32 object space modifiers initialization done, hr=0
Plane32 vertex buffer creation done, hr=0
Plane32 vertex buffer has been filled, hr=0
Plane34 cloning bounding volumes done, hr=0
Plane34 object space modifiers initialization done, hr=0
Plane34 vertex buffer creation done, hr=0
Plane34 vertex buffer has been filled, hr=0
Plane35 cloning bounding volumes done, hr=0
Plane35 object space modifiers initialization done, hr=0
Plane35 vertex buffer creation done, hr=0
Plane35 vertex buffer has been filled, hr=0
Plane36 cloning bounding volumes done, hr=0
Plane36 object space modifiers initialization done, hr=0
Plane36 vertex buffer creation done, hr=0
Plane36 vertex buffer has been filled, hr=0
Plane39 cloning bounding volumes done, hr=0
Plane39 object space modifiers initialization done, hr=0
Plane39 vertex buffer creation done, hr=0
Plane39 vertex buffer has been filled, hr=0
Plane41 cloning bounding volumes done, hr=0
Plane41 object space modifiers initialization done, hr=0
Plane41 vertex buffer creation done, hr=0
Plane41 vertex buffer has been filled, hr=0
Plane42 cloning bounding volumes done, hr=0
Plane42 object space modifiers initialization done, hr=0
Plane42 vertex buffer creation done, hr=0
Plane42 vertex buffer has been filled, hr=0
Plane43 cloning bounding volumes done, hr=0
Plane43 object space modifiers initialization done, hr=0
Plane43 vertex buffer creation done, hr=0
Plane43 vertex buffer has been filled, hr=0
Plane44 cloning bounding volumes done, hr=0
Plane44 object space modifiers initialization done, hr=0
Plane44 vertex buffer creation done, hr=0
Plane44 vertex buffer has been filled, hr=0
Plane45 cloning bounding volumes done, hr=0
Plane45 object space modifiers initialization done, hr=0
Plane45 vertex buffer creation done, hr=0
Plane45 vertex buffer has been filled, hr=0
Plane46 cloning bounding volumes done, hr=0
Plane46 object space modifiers initialization done, hr=0
Plane46 vertex buffer creation done, hr=0
Plane46 vertex buffer has been filled, hr=0
Plane47 cloning bounding volumes done, hr=0
Plane47 object space modifiers initialization done, hr=0
Plane47 vertex buffer creation done, hr=0
Plane47 vertex buffer has been filled, hr=0
Plane48 cloning bounding volumes done, hr=0
Plane48 object space modifiers initialization done, hr=0
Plane48 vertex buffer creation done, hr=0
Plane48 vertex buffer has been filled, hr=0
Plane49 cloning bounding volumes done, hr=0
Plane49 object space modifiers initialization done, hr=0
Plane49 vertex buffer creation done, hr=0
Plane49 vertex buffer has been filled, hr=0
Plane50 cloning bounding volumes done, hr=0
Plane50 object space modifiers initialization done, hr=0
Plane50 vertex buffer creation done, hr=0
Plane50 vertex buffer has been filled, hr=0
Plane51 cloning bounding volumes done, hr=0
Plane51 object space modifiers initialization done, hr=0
Plane51 vertex buffer creation done, hr=0
Plane51 vertex buffer has been filled, hr=0
Plane52 cloning bounding volumes done, hr=0
Plane52 object space modifiers initialization done, hr=0
Plane52 vertex buffer creation done, hr=0
Plane52 vertex buffer has been filled, hr=0
Plane53 cloning bounding volumes done, hr=0
Plane53 object space modifiers initialization done, hr=0
Plane53 vertex buffer creation done, hr=0
Plane53 vertex buffer has been filled, hr=0
Plane54 cloning bounding volumes done, hr=0
Plane54 object space modifiers initialization done, hr=0
Plane54 vertex buffer creation done, hr=0
Plane54 vertex buffer has been filled, hr=0
Objects initialization done, hr=0

Font allocated, hr=0
Font m_SetWorkBuffer done, hr=0
Font m_SetWorkBuffer done, hr=0
Font m_SetWorkBuffer done, hr=0
Font phrases added, hr=0
CFont m_LoadAnimation: LoadPosTrack Done, hr=0
CFont m_LoadAnimation: LoadRotTrack Done, hr=0
Font m_LoadAnimation done, hr=0
CFDont Init CEfx2D done, hr=0
CFont Keyframer done, hr=0
CFont InitMaterial done, hr=0
CFont Init cerate vertex buffer done, hr=0
CFont Init phrases done, hr=0
Font m_Init done, hr=0
CFade2D Init cerate vertex buffer done, hr=0
CFlash2D Init cerate vertex buffer done, hr=0
Timer settings.., hr=0
Timer ahs started.., hr=0
